Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths,state_code
Madhya Pradesh,2020-06-20,11582,495,8748,2339.0,780047.0,10015.0,23
Rajasthan,2020-06-20,14156,333,10997,2826.0,926804.0,8117.0,8
Mizoram,2020-06-20,130,0,1,129.0,4277.0,10.0,15
Manipur,2020-06-20,681,0,218,463.0,125869.0,2012.0,14
Assam,2020-06-20,4904,9,3039,1856.0,535549.0,4901.0,18
Jammu and Kashmir,2020-06-20,5680,75,3194,2411.0,48416.0,803.0,1
Chhattisgarh,2020-06-20,2028,10,1331,687.0,88889.0,708.0,22
Jharkhand,2020-06-20,1965,11,1332,622.0,160980.0,1445.0,20
Tamil Nadu,2020-06-20,54449,666,30271,23512.0,2650137.0,35491.0,33
Bihar,2020-06-20,7181,50,5098,2033.0,806162.0,12143.0,10
Nagaland,2020-06-20,198,0,125,73.0,22853.0,432.0,13
Himachal Pradesh,2020-06-20,619,8,388,223.0,198788.0,3406.0,2
Odisha,2020-06-20,4677,11,3297,1369.0,325632.0,1872.0,21
Arunachal Pradesh,2020-06-20,103,0,11,92.0,34829.0,167.0,12
Sikkim,2020-06-20,70,0,5,65.0,475.0,0.0,11
Gujarat,2020-06-20,26141,1618,18159,6364.0,172758.0,2258.0,24
Punjab,2020-06-20,3832,92,2636,1104.0,262662.0,7298.0,3
Haryana,2020-06-20,9743,144,4889,4710.0,762132.0,9911.0,6
Chhattisgarh,2020-06-21,2041,11,1394,636.0,7344.0,44.0,22
Odisha,2020-06-21,4856,12,3534,1310.0,267394.0,1156.0,21
